node_id,community,RNL
247706,"1,1,",3
248033,"1,1,",3
248034,"1,1,",3
248148,"1,1,",3
248501,"1,1,",3
249029,"1,1,",3
249112,"1,1,",3
249758,"1,1,",3
250276,"1,1,",3
250524,"1,1,",3
250825,"1,1,",3
250987,"1,1,",3
251044,"1,1,",3
251162,"1,1,",3
251267,"1,1,",3
251515,"1,1,",3
251588,"1,1,",3
251591,"1,1,",3
251620,"1,1,",3
251724,"1,1,",3
251932,"1,1,",3
252052,"1,1,",3
253261,"1,1,",3
253674,"1,1,",3
254186,"1,1,",3
254841,"1,1,",3
255133,"1,1,",3
255784,"1,1,",3
256265,"1,1,",3
256412,"1,1,",3
256454,"1,1,",3
256788,"1,1,",3
257173,"1,1,",3
257616,"1,1,",3
258317,"1,1,",3
258492,"1,1,",3
258562,"1,1,",3
258837,"1,1,",3
258887,"1,1,",3
259051,"1,1,",3
260638,"1,1,",3
261211,"1,1,",3
261302,"1,1,",3
261759,"1,1,",3
261955,"1,1,",3
262034,"1,1,",3
262269,"1,1,",3
262399,"1,1,",3
262446,"1,1,",3
262475,"1,1,",3
262611,"1,1,",3
263165,"1,1,",3
263272,"1,1,",3
263335,"1,1,",3
263719,"1,1,",3
263943,"1,1,",3
264097,"1,1,",3
266019,"1,1,",3
266101,"1,1,",3
266248,"1,1,",3
266304,"1,1,",3
266440,"1,1,",3
266653,"1,1,",3
266671,"1,1,",3
266730,"1,1,",3
266890,"1,1,",3
267478,"1,1,",3
268215,"1,1,",3
269100,"1,1,",3
269335,"1,1,",3
270995,"1,1,",3
271556,"1,1,",3
272601,"1,1,",3
273978,"1,1,",3
275842,"1,1,",3
276021,"1,1,",3
276077,"1,1,",3
276390,"1,1,",3
277347,"1,1,",3
277437,"1,1,",3
277575,"1,1,",3
277731,"1,1,",3
277862,"1,1,",3
278304,"1,1,",3
278401,"1,1,",3
278554,"1,1,",3
279306,"1,1,",3
279464,"1,1,",3
279694,"1,1,",3
279808,"1,1,",3
280262,"1,1,",3
281071,"1,1,",3
281387,"1,1,",3
281845,"1,1,",3
282297,"1,1,",3
282582,"1,1,",3
282598,"1,1,",3
283391,"1,1,",3
283495,"1,1,",3
283713,"1,1,",3
283966,"1,1,",3
284018,"1,1,",3
284073,"1,1,",3
284254,"1,1,",3
284541,"1,1,",3
284868,"1,1,",3
285099,"1,1,",3
285744,"1,1,",3
286025,"1,1,",3
286218,"1,1,",3
286289,"1,1,",3
286494,"1,1,",3
286591,"1,1,",3
288187,"1,1,",3
288333,"1,1,",3
288423,"1,1,",3
288492,"1,1,",3
288502,"1,1,",3
288683,"1,1,",3
288854,"1,1,",3
289729,"1,1,",3
289965,"1,1,",3
289988,"1,1,",3
290427,"1,1,",3
290436,"1,1,",3
290635,"1,1,",3
290968,"1,1,",3
291013,"1,1,",3
291382,"1,1,",3
291598,"1,1,",3
291712,"1,1,",3
291864,"1,1,",3
292396,"1,1,",3
292489,"1,1,",3
292753,"1,1,",3
293266,"1,1,",3
293772,"1,1,",3
293801,"1,1,",3
294305,"1,1,",3
294510,"1,1,",3
294555,"1,1,",3
294761,"1,1,",3
294824,"1,1,",3
295817,"1,1,",3
295949,"1,1,",3
295965,"1,1,",3
296958,"1,1,",3
297502,"1,1,",3
297931,"1,1,",3
298035,"1,1,",3
298553,"1,1,",3
298640,"1,1,",3
299276,"1,1,",3
299703,"1,1,",3
299934,"1,1,",3
300168,"1,1,",3
300432,"1,1,",3
301655,"1,1,",3
302131,"1,1,",3
302694,"1,1,",3
303214,"1,1,",3
303523,"1,1,",3
304159,"1,1,",3
304387,"1,1,",3
305007,"1,1,",3
305716,"1,1,",3
305777,"1,1,",3
305957,"1,1,",3
305993,"1,1,",3
306014,"1,1,",3
306494,"1,1,",3
306635,"1,1,",3
306662,"1,1,",3
306926,"1,1,",3
307096,"1,1,",3
307179,"1,1,",3
307227,"1,1,",3
307405,"1,1,",3
307406,"1,1,",3
307444,"1,1,",3
307632,"1,1,",3
307640,"1,1,",3
307744,"1,1,",3
307893,"1,1,",3
307901,"1,1,",3
308537,"1,1,",3
308582,"1,1,",3
308736,"1,1,",3
308857,"1,1,",3
308917,"1,1,",3
309018,"1,1,",3
309104,"1,1,",3
309218,"1,1,",3
309260,"1,1,",3
309315,"1,1,",3
309382,"1,1,",3
309582,"1,1,",3
309738,"1,1,",3
309937,"1,1,",3
310207,"1,1,",3
310265,"1,1,",3
310402,"1,1,",3
310779,"1,1,",3
311050,"1,1,",3
311129,"1,1,",3
